Accident_Index,Date,Local_Authority_District,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Speed_Limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Gender,Vehicle_Type,Holiday,School_Season,Festival_Season,Time_of_Day,Accident_Risk,City,State
ACC002020,08-02-2023 03:01,Central Region,Slight,1,1,Slip road,40,Daylight,Fine + high winds,Wet or damp,Rural,Man,Car,No,School Open,Non-Festival,Night,Medium,Kolkata,Gujarat
ACC002021,03-06-2020 00:05,North Sector,Slight,1,1,Slip road,40,Darkness - no lighting,Fine no high winds,Wet or damp,Urban,Woman,Car,No,School Open,Non-Festival,Morning,Low,Bengaluru,Punjab
ACC002022,07-08-2022 18:17,Downtown Hub,Slight,2,1,One way street,20,Darkness - lights unlit,Fine + high winds,Wet or damp,Rural,Woman,Truck,No,School Open,Non-Festival,Night,Medium,Jaipur,Manipur
ACC002023,11/14/2020 06:48:21 AM,South Division,Slight,1,1,Slip road,30,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Open,Festival,Afternoon,Medium,Chennai,Karnataka
ACC002024,02-03-2024 14:34,South Division,Slight,3,1,Slip road,40,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Open,Festival,Afternoon,Medium,Kolkata,Haryana
ACC002025,12/13/2023 02:02:42 AM,North Sector,Slight,1,1,Single carriageway,20,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Truck,No,School Open,Non-Festival,Morning,Low,Shimla,Rajasthan
ACC002026,07/17/2022 08:53:23 PM,South Division,Slight,1,1,Single carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Urban,Man,Bus,No,School Open,Non-Festival,Night,Medium,Pune,Gujarat
ACC002027,11/30/2020 02:24:17 PM,North Sector,Slight,3,1,Roundabout,40,Daylight,Fine no high winds,Dry,Urban,Woman,Van,No,School Open,Festival,Evening,High,Kolkata,Uttar Pradesh
ACC002028,08-10-2024 01:51,Downtown Hub,Slight,2,1,Roundabout,40,Darkness - lights lit,Raining + high winds,Dry,Rural,Man,Car,No,School Open,Festival,Night,High,Jaipur,Odisha
ACC002029,03/21/2022 08:29:09 PM,West Metro,Slight,1,1,Roundabout,40,Darkness - no lighting,Fine no high winds,Dry,Rural,Woman,Car,No,School Open,Festival,Evening,High,Chennai,Tamil Nadu
ACC002030,01-11-2022 07:08,North Sector,Slight,2,1,Dual carriageway,20,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Truck,No,School Open,Non-Festival,Morning,Low,Bengaluru,Karnataka
ACC002031,02/27/2022 12:38:29 PM,Downtown Hub,Slight,2,2,Single carriageway,20,Darkness - lights unlit,Raining no high winds,Dry,Rural,Woman,Truck,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Karnataka
ACC002032,08/16/2020 09:27:10 AM,South Division,Slight,2,2,Slip road,40,Darkness - lights lit,Raining no high winds,Dry,Urban,Woman,Bus,Yes,School Vacation,Non-Festival,Afternoon,Medium,Jaipur,Telangana
ACC002033,11/17/2024 08:19:53 PM,South Division,Slight,2,1,Dual carriageway,20,Daylight,Raining no high winds,Dry,Rural,Man,Auto Rickshaw,Yes,School Open,Festival,Evening,High,Pune,Rajasthan
ACC002034,09/27/2022 12:07:59 AM,North Sector,Serious,2,3,Single carriageway,50,Darkness - lights lit,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Vacation,Festival,Night,High,Hyderabad,Bihar
ACC002035,06/24/2020 11:31:52 PM,North Sector,Slight,1,1,One way street,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Motorcycle,Yes,School Vacation,Non-Festival,Afternoon,Medium,Chennai,Haryana
ACC002036,12/16/2022 07:27:13 PM,North Sector,Slight,3,1,Roundabout,40,Darkness - no lighting,Fine no high winds,Wet or damp,Rural,Man,Auto Rickshaw,Yes,School Open,Non-Festival,Evening,Medium,Mumbai,Telangana
ACC002037,06/16/2022 04:28:07 PM,West Metro,Slight,1,1,Slip road,20,Darkness - lights lit,Fine no high winds,Dry,Urban,Man,SUV,No,School Open,Non-Festival,Night,Medium,Jaipur,Assam
ACC002038,01/15/2020 02:45:40 AM,South Division,Slight,1,1,Single carriageway,20,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Man,Bicycle,Yes,School Open,Festival,Morning,High,Hyderabad,Sikkim
ACC002039,10-02-2023 15:13,West Metro,Slight,1,2,One way street,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Car,No,School Open,Non-Festival,Night,Medium,Mumbai,Rajasthan
ACC002040,07-11-2024 13:12,East District,Serious,1,1,One way street,60,Daylight,Raining no high winds,Dry,Urban,Man,SUV,No,School Open,Non-Festival,Afternoon,Low,Chennai,Arunachal Pradesh
ACC002041,05-04-2020 12:46,North Sector,Slight,2,1,Slip road,20,Darkness - no lighting,Raining no high winds,Dry,Urban,Man,Auto Rickshaw,No,School Vacation,Non-Festival,Evening,Medium,Delhi,Telangana
ACC002042,05/14/2022 05:17:29 AM,West Metro,Slight,1,2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Man,Truck,No,School Open,Non-Festival,Afternoon,Low,Shimla,Kerala
ACC002043,07-10-2020 07:10,Central Region,Slight,2,1,Dual carriageway,30,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Bus,No,School Vacation,Non-Festival,Afternoon,Low,Hyderabad,Goa
ACC002044,03-10-2022 08:59,Downtown Hub,Slight,2,1,Slip road,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Open,Non-Festival,Morning,Low,Lucknow,Arunachal Pradesh
ACC002045,01/23/2021 09:13:03 AM,South Division,Slight,2,1,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Woman,Bus,No,School Vacation,Non-Festival,Night,Medium,Delhi,West Bengal
ACC002046,10/26/2022 04:10:03 PM,Central Region,Slight,3,1,Slip road,20,Daylight,Fine no high winds,Wet or damp,Urban,Man,SUV,No,School Open,Non-Festival,Night,Medium,Shimla,Rajasthan
ACC002047,04-06-2022 03:56,Central Region,Slight,1,1,One way street,40,Darkness - lights unlit,Snowing no high winds,Dry,Rural,Man,Bicycle,Yes,School Open,Non-Festival,Morning,Medium,Pune,Andhra Pradesh
ACC002048,02/22/2021 09:45:20 PM,Downtown Hub,Slight,1,1,Roundabout,40,Darkness - no lighting,,Dry,Rural,Man,Van,No,School Open,Non-Festival,Night,Medium,Kolkata,Kerala
ACC002049,03/19/2024 02:00:29 AM,Central Region,Slight,2,1,Slip road,20,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Man,Van,No,School Open,Non-Festival,Evening,Medium,Bengaluru,Uttar Pradesh
ACC002050,09/28/2020 11:56:04 AM,East District,Slight,2,1,Slip road,20,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Auto Rickshaw,No,School Open,Non-Festival,Night,Medium,Lucknow,Sikkim
ACC002051,09/29/2023 05:19:59 PM,South Division,Slight,2,2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Man,Car,No,School Vacation,Non-Festival,Morning,Low,Pune,Kerala
ACC002052,07-11-2021 09:38,West Metro,Serious,3,1,One way street,50,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Afternoon,Low,Chennai,Tripura
ACC002053,07-08-2020 20:27,Downtown Hub,Slight,1,1,Roundabout,20,Darkness - lights lit,Raining no high winds,Dry,Rural,Woman,Van,No,School Vacation,Festival,Evening,High,Pune,Mizoram
ACC002054,02-03-2023 22:27,North Sector,Slight,1,1,Slip road,40,Daylight,Raining no high winds,Wet or damp,Rural,Woman,Motorcycle,No,School Open,Non-Festival,Morning,Low,Kolkata,Uttarakhand
ACC002055,04-07-2023 17:09,South Division,Slight,1,1,Dual carriageway,20,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,Woman,Bus,No,School Vacation,Festival,Afternoon,Medium,Chennai,Uttarakhand
ACC002056,12/25/2021 05:56:55 PM,North Sector,Slight,2,1,Dual carriageway,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Bus,Yes,School Open,Non-Festival,Afternoon,Medium,Lucknow,Jharkhand
ACC002057,02/20/2020 05:47:59 AM,Downtown Hub,Slight,1,2,Dual carriageway,40,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Morning,Low,Kolkata,West Bengal
ACC002058,05/31/2024 10:06:24 PM,North Sector,Slight,2,1,One way street,20,Darkness - lights unlit,Fine no high winds,Wet or damp,Rural,Man,Motorcycle,No,School Vacation,Non-Festival,Afternoon,Low,Mumbai,West Bengal
ACC002059,08-07-2024 07:14,Central Region,Slight,2,1,Roundabout,30,Darkness - lights unlit,Fine no high winds,Wet or damp,Rural,Man,Bus,No,School Open,Non-Festival,Night,Medium,Bengaluru,Meghalaya
ACC002060,10/23/2023 05:21:01 PM,West Metro,Slight,1,2,Roundabout,20,Daylight,Fine no high winds,Dry,Urban,Man,Bus,Yes,School Open,Non-Festival,Afternoon,Medium,Lucknow,Manipur
ACC002061,05-06-2023 13:22,Central Region,Slight,2,1,One way street,40,Darkness - lights lit,Raining no high winds,Dry,Rural,Man,Bicycle,No,School Open,Non-Festival,Morning,Low,Mumbai,Manipur
ACC002062,03/31/2020 10:27:00 PM,Downtown Hub,Slight,2,1,Dual carriageway,40,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Bicycle,No,School Open,Non-Festival,Afternoon,Low,Shimla,Odisha
ACC002063,05/23/2020 09:58:21 PM,Downtown Hub,Slight,2,1,Roundabout,20,Darkness - lights unlit,Fine + high winds,Frost or ice,Rural,Woman,Motorcycle,No,School Open,Non-Festival,Evening,Medium,Lucknow,Kerala
ACC002064,10/30/2021 12:44:18 PM,East District,Slight,2,1,Dual carriageway,40,Darkness - lights unlit,Raining + high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Evening,Medium,Shimla,Tamil Nadu
ACC002065,01/27/2023 12:19:18 AM,Downtown Hub,Slight,1,1,Roundabout,40,Darkness - no lighting,Raining no high winds,Dry,Rural,Man,Car,Yes,School Open,Non-Festival,Evening,Medium,Chennai,Punjab
ACC002066,06/24/2022 09:13:32 PM,Downtown Hub,Serious,2,3,Single carriageway,40,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Auto Rickshaw,No,School Open,Non-Festival,Morning,Low,Mumbai,Tripura
ACC002067,07-10-2020 07:43,Central Region,Fatal,2,1,Dual carriageway,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Afternoon,Low,Bengaluru,Assam
ACC002068,07/21/2022 01:56:40 PM,East District,Slight,2,1,One way street,30,Darkness - lights lit,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Evening,Medium,Kolkata,Chhattisgarh
ACC002069,09-05-2023 22:00,East District,Serious,3,2,Dual carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Rural,Man,Auto Rickshaw,No,School Open,Festival,Night,High,Jaipur,Odisha
ACC002070,04-12-2020 17:15,Downtown Hub,Slight,2,1,Slip road,30,Darkness - lights unlit,Fine no high winds,Wet or damp,Rural,Woman,Van,No,School Vacation,Non-Festival,Evening,Medium,Pune,Gujarat
ACC002071,06-08-2023 23:57,North Sector,Slight,2,2,One way street,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Woman,Van,No,School Vacation,Non-Festival,Morning,Low,Delhi,Rajasthan
ACC002072,03/19/2024 07:53:40 AM,Downtown Hub,Slight,1,1,Dual carriageway,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Woman,SUV,Yes,School Open,Non-Festival,Afternoon,Medium,Bengaluru,Himachal Pradesh
ACC002073,06-07-2020 22:18,Central Region,Slight,1,1,Dual carriageway,40,Darkness - lights lit,Raining no high winds,Dry,Urban,Woman,Bus,No,School Vacation,Non-Festival,Morning,Low,Mumbai,Gujarat
ACC002074,02/23/2022 10:09:45 PM,West Metro,Slight,1,1,One way street,30,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Car,No,School Open,Non-Festival,Evening,Medium,Jaipur,Nagaland
ACC002075,02/27/2021 01:24:57 PM,West Metro,Slight,2,2,One way street,20,Darkness - no lighting,Fine no high winds,Snow,Urban,Woman,Van,No,School Open,Non-Festival,Morning,Low,Bengaluru,Bihar
ACC002076,12/21/2021 09:48:24 AM,West Metro,Slight,2,2,Slip road,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Morning,Low,Mumbai,Tripura
ACC002077,03/25/2021 08:27:31 AM,East District,Slight,1,1,Dual carriageway,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,SUV,No,School Open,Non-Festival,Afternoon,Low,Hyderabad,West Bengal
ACC002078,06/28/2023 05:01:58 PM,Central Region,Slight,1,1,One way street,20,Darkness - lights lit,Fine no high winds,Frost or ice,Rural,Man,Van,No,School Open,Non-Festival,Afternoon,Low,Hyderabad,Maharashtra
ACC002079,01-07-2021 01:16,East District,Slight,1,1,Roundabout,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Shimla,Nagaland
ACC002080,09-05-2024 02:30,North Sector,Slight,2,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Open,Non-Festival,Afternoon,Low,Bengaluru,Uttar Pradesh
ACC002081,05/21/2021 06:53:01 AM,Downtown Hub,Slight,2,1,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Bus,No,School Open,Non-Festival,Evening,Medium,Hyderabad,Himachal Pradesh
ACC002082,12-03-2023 08:49,Downtown Hub,Slight,1,1,Single carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Woman,Truck,No,School Open,Non-Festival,Afternoon,Low,Mumbai,Uttar Pradesh
ACC002083,08-09-2020 18:01,East District,Slight,1,1,Dual carriageway,30,Daylight,,Wet or damp,Urban,Man,Van,No,School Open,Non-Festival,Afternoon,Low,Shimla,Rajasthan
ACC002084,07/27/2020 10:49:19 PM,West Metro,Slight,2,1,Single carriageway,20,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Mumbai,Arunachal Pradesh
ACC002085,09/16/2023 11:04:32 AM,East District,Slight,2,1,Single carriageway,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Afternoon,Low,Shimla,Punjab
ACC002086,07/25/2023 02:45:09 PM,West Metro,Serious,2,2,Slip road,50,Darkness - no lighting,Fine no high winds,Frost or ice,Rural,Man,Bus,No,School Open,Non-Festival,Evening,Medium,Bengaluru,West Bengal
ACC002087,06-11-2022 23:37,South Division,Slight,1,1,One way street,20,Darkness - lights lit,Raining no high winds,Dry,Rural,Woman,Car,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Manipur
ACC002088,03/13/2023 07:42:24 PM,North Sector,Slight,1,1,One way street,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,SUV,Yes,School Open,Non-Festival,Evening,Medium,Kolkata,West Bengal
ACC002089,06/21/2024 08:21:17 AM,West Metro,Serious,3,2,Single carriageway,50,Darkness - lights lit,Fine no high winds,Dry,Urban,Woman,Bicycle,Yes,School Vacation,Non-Festival,Evening,Medium,Lucknow,Gujarat
ACC002090,05-09-2021 23:26,Downtown Hub,Fatal,3,1,One way street,70,Darkness - no lighting,Fine no high winds,Dry,Urban,Woman,Auto Rickshaw,No,School Vacation,Festival,Night,High,Jaipur,Kerala
ACC002091,07-09-2020 09:14,East District,Serious,2,1,Slip road,50,Darkness - lights unlit,Raining no high winds,Dry,Rural,Man,Van,No,School Open,Non-Festival,Afternoon,Low,Chennai,Haryana
ACC002092,03-07-2024 17:21,North Sector,Slight,2,1,Single carriageway,30,Darkness - lights lit,Raining + high winds,Dry,Rural,Man,Car,No,School Open,Festival,Afternoon,Medium,Mumbai,Manipur
ACC002093,09-01-2020 23:34,South Division,Serious,2,1,Slip road,60,Darkness - lights unlit,Fine no high winds,Dry,Urban,Woman,Motorcycle,No,School Open,Festival,Evening,High,Chennai,Assam
ACC002094,09-01-2024 06:18,South Division,Serious,2,1,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Woman,Van,No,School Vacation,Non-Festival,Morning,Low,Jaipur,Maharashtra
ACC002095,11/29/2023 04:40:55 AM,West Metro,Slight,2,1,Roundabout,20,Darkness - no lighting,,Wet or damp,Rural,Woman,Motorcycle,No,School Open,Festival,Afternoon,Medium,Shimla,Mizoram
ACC002096,06/21/2022 10:11:03 AM,Central Region,Slight,1,1,One way street,20,Darkness - no lighting,Fine no high winds,Dry,Urban,Woman,Car,No,School Open,Non-Festival,Evening,Medium,Lucknow,Bihar
ACC002097,03/27/2023 08:43:03 PM,Central Region,Serious,1,2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Morning,Low,Lucknow,Nagaland
ACC002098,05/26/2023 07:50:39 PM,East District,Slight,1,1,Roundabout,30,Darkness - no lighting,,Dry,Rural,Man,SUV,No,School Open,Festival,Afternoon,Medium,Delhi,Haryana
ACC002099,03-10-2023 19:03,Downtown Hub,Serious,4,1,Dual carriageway,40,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Bus,No,School Open,Non-Festival,Evening,Medium,Lucknow,Bihar
ACC002100,11/17/2020 07:11:35 AM,Downtown Hub,Serious,1,1,Slip road,60,Darkness - no lighting,Fine + high winds,Snow,Rural,Woman,Motorcycle,No,School Open,Non-Festival,Night,Medium,Kolkata,Arunachal Pradesh
ACC002101,03-07-2020 07:18,Downtown Hub,Slight,1,1,Dual carriageway,20,Darkness - lights unlit,Raining no high winds,Dry,Urban,Man,Bicycle,No,School Open,Non-Festival,Night,Medium,Lucknow,Goa
ACC002102,05/20/2022 03:34:14 AM,Central Region,Slight,2,2,Single carriageway,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Bus,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Sikkim
ACC002103,05-03-2023 23:52,Downtown Hub,Slight,3,1,Roundabout,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Afternoon,Low,Delhi,Jharkhand
ACC002104,10/21/2022 05:31:28 PM,Downtown Hub,Fatal,2,1,Roundabout,70,Darkness - lights unlit,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Morning,Low,Jaipur,Bihar
ACC002105,07-06-2020 07:43,Downtown Hub,Fatal,4,2,Roundabout,40,Daylight,Fine no high winds,Frost or ice,Urban,Man,Truck,Yes,School Open,Festival,Morning,High,Jaipur,Sikkim
ACC002106,08/21/2022 04:41:28 PM,East District,Slight,3,1,One way street,40,Daylight,Fine no high winds,Frost or ice,Rural,Woman,Van,No,School Vacation,Non-Festival,Evening,Medium,Pune,Nagaland
ACC002107,12/13/2021 01:21:20 PM,East District,Slight,2,1,One way street,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Morning,Low,Delhi,Uttar Pradesh
